ID,SectorBranchesSIC2008,Periods,CompensationOfEmployees_1,WagesAndSalaries_2,EmployersSocialContributions_3,WageCosts_4,CompensationOfEmployees_5,WagesAndSalaries_6,WageCosts_7,CompensationPerFte_8,WagesPerFte_9,WageCostsPerFte_10,CompensationPerHourWorked_11,WagesPerHourWorked_12,WageCostsPerHourWorked_13,CompensationPerFte_14,WagesPerFte_15,WageCostsPerFte_16,CompensationPerHourWorked_17,WagesPerHourWorked_18,WageCostsPerHourWorked_19,FullTimeEquivalentFte_20,HoursWorked_21,HoursPaid_22,HoursAgreed_23,PaidExtraHours_24,FullTimeEquivalentFte_25,HoursWorked_26,Total_27,Male_28,Female_29,Total_30,Male_31,Female_32,Total_33,Male_34,Female_35,Total_36,Title,Description,CategoryGroupID,Year
0,T001081,1995JJ00,165560.0,138950.0,26610.0,165237.0,,,,33.1,27.8,33.1,19.4,16.3,19.3,,,,,,,4999.0,8542.0,,,,,,6326.0,3695.0,2631.0,,,,,,,,A-U All economic activities,"All economic activities
This category is made up of the categories:
A Agriculture, forestry and fishing
B Mining and quarrying
C Manufacturing
D Electricity and gas supply
E Water supply and waste management
F Construction
G Wholesale and retail trade
H Transportation and storage
I Accommodation and food serving
J Information and communication
K Financial institutions
L Renting and buying and selling of real estate
M Consultancy, research and other specialised business services
N Renting and leasing of tangible goods and other business support services
O Public administration, public services and compulsory social security
P Education
Q Health and social work activities
R Culture, sports and recreation
S Other service activities
T Activities of households as employers; undifferentiated goods- and service- producing activities of households for own use
U Extraterritorial organisations",1,1995
1,T001081,1996JJ00,171981.0,144255.0,27726.0,170983.0,3.9,3.8,3.5,33.6,28.2,33.4,19.6,16.4,19.4,1.6,1.5,1.2,0.9,0.8,0.5,5112.0,8794.0,,,,2.3,3.0,6490.0,3795.0,2695.0,,,,,,,2.6,A-U All economic activities,"All economic activities
This category is made up of the categories:
A Agriculture, forestry and fishing
B Mining and quarrying
C Manufacturing
D Electricity and gas supply
E Water supply and waste management
F Construction
G Wholesale and retail trade
H Transportation and storage
I Accommodation and food serving
J Information and communication
K Financial institutions
L Renting and buying and selling of real estate
M Consultancy, research and other specialised business services
N Renting and leasing of tangible goods and other business support services
O Public administration, public services and compulsory social security
P Education
Q Health and social work activities
R Culture, sports and recreation
S Other service activities
T Activities of households as employers; undifferentiated goods- and service- producing activities of households for own use
U Extraterritorial organisations",1,1996
2,T001081,1997JJ00,181634.0,153571.0,28063.0,180108.0,5.6,6.5,5.3,34.4,29.1,34.1,20.2,17.0,20.0,2.3,3.1,2.0,3.0,3.9,2.8,5277.0,9013.0,,,,3.2,2.5,6697.0,3907.0,2789.0,,,,,,,3.2,A-U All economic activities,"All economic activities
This category is made up of the categories:
A Agriculture, forestry and fishing
B Mining and quarrying
C Manufacturing
D Electricity and gas supply
E Water supply and waste management
F Construction
G Wholesale and retail trade
H Transportation and storage
I Accommodation and food serving
J Information and communication
K Financial institutions
L Renting and buying and selling of real estate
M Consultancy, research and other specialised business services
N Renting and leasing of tangible goods and other business support services
O Public administration, public services and compulsory social security
P Education
Q Health and social work activities
R Culture, sports and recreation
S Other service activities
T Activities of households as employers; undifferentiated goods- and service- producing activities of households for own use
U Extraterritorial organisations",1,1997
3,T001081,1998JJ00,194666.0,155070.0,39596.0,192571.0,7.2,1.0,6.9,35.6,28.3,35.2,20.9,16.7,20.7,3.4,-2.6,3.1,3.9,-2.1,3.6,5470.0,9299.0,,,,3.7,3.2,6951.0,4028.0,2923.0,,,,,,,3.8,A-U All economic activities,"All economic activities
This category is made up of the categories:
A Agriculture, forestry and fishing
B Mining and quarrying
C Manufacturing
D Electricity and gas supply
E Water supply and waste management
F Construction
G Wholesale and retail trade
H Transportation and storage
I Accommodation and food serving
J Information and communication
K Financial institutions
L Renting and buying and selling of real estate
M Consultancy, research and other specialised business services
N Renting and leasing of tangible goods and other business support services
O Public administration, public services and compulsory social security
P Education
Q Health and social work activities
R Culture, sports and recreation
S Other service activities
T Activities of households as employers; undifferentiated goods- and service- producing activities of households for own use
U Extraterritorial organisations",1,1998
4,T001081,1999JJ00,209646.0,166790.0,42856.0,207505.0,7.7,7.5,7.7,37.1,29.6,36.8,21.8,17.4,21.6,4.4,4.2,4.4,4.2,4.0,4.2,5644.0,9613.0,,,,3.2,3.4,7194.0,4139.0,3055.0,,,,,,,3.5,A-U All economic activities,"All economic activities
This category is made up of the categories:
A Agriculture, forestry and fishing
B Mining and quarrying
C Manufacturing
D Electricity and gas supply
E Water supply and waste management
F Construction
G Wholesale and retail trade
H Transportation and storage
I Accommodation and food serving
J Information and communication
K Financial institutions
L Renting and buying and selling of real estate
M Consultancy, research and other specialised business services
N Renting and leasing of tangible goods and other business support services
O Public administration, public services and compulsory social security
P Education
Q Health and social work activities
R Culture, sports and recreation
S Other service activities
T Activities of households as employers; undifferentiated goods- and service- producing activities of households for own use
U Extraterritorial organisations",1,1999
5,T001081,2000JJ00,226797.0,178788.0,48009.0,224588.0,8.2,7.2,8.2,39.3,31.0,38.9,23.3,18.3,23.0,5.8,4.9,5.9,6.6,5.7,6.7,5770.0,9751.0,,,,2.2,1.4,7379.0,4215.0,3163.0,,,,,,,2.6,A-U All economic activities,"All economic activities
This category is made up of the categories:
A Agriculture, forestry and fishing
B Mining and quarrying
C Manufacturing
D Electricity and gas supply
E Water supply and waste management
F Construction
G Wholesale and retail trade
H Transportation and storage
I Accommodation and food serving
J Information and communication
K Financial institutions
L Renting and buying and selling of real estate
M Consultancy, research and other specialised business services
N Renting and leasing of tangible goods and other business support services
O Public administration, public services and compulsory social security
P Education
Q Health and social work activities
R Culture, sports and recreation
S Other service activities
T Activities of households as employers; undifferentiated goods- and service- producing activities of households for own use
U Extraterritorial organisations",1,2000
6,T001081,2001JJ00,239194.0,191543.0,47651.0,236818.0,5.5,7.1,5.4,40.6,32.5,40.2,24.0,19.2,23.8,3.3,5.0,3.3,3.3,4.9,3.2,5889.0,9960.0,,,,2.1,2.1,7540.0,4268.0,3272.0,,,,,,,2.2,A-U All economic activities,"All economic activities
This category is made up of the categories:
A Agriculture, forestry and fishing
B Mining and quarrying
C Manufacturing
D Electricity and gas supply
E Water supply and waste management
F Construction
G Wholesale and retail trade
H Transportation and storage
I Accommodation and food serving
J Information and communication
K Financial institutions
L Renting and buying and selling of real estate
M Consultancy, research and other specialised business services
N Renting and leasing of tangible goods and other business support services
O Public administration, public services and compulsory social security
P Education
Q Health and social work activities
R Culture, sports and recreation
S Other service activities
T Activities of households as employers; undifferentiated goods- and service- producing activities of households for own use
U Extraterritorial organisations",1,2001
7,T001081,2002JJ00,251188.0,198956.0,52232.0,248591.0,5.0,3.9,5.0,42.7,33.8,42.2,25.3,20.0,25.0,5.1,3.9,5.0,5.2,4.0,5.1,5887.0,9943.0,,,,0.0,-0.2,7592.0,4250.0,3342.0,,,,,,,0.7,A-U All economic activities,"All economic activities
This category is made up of the categories:
A Agriculture, forestry and fishing
B Mining and quarrying
C Manufacturing
D Electricity and gas supply
E Water supply and waste management
F Construction
G Wholesale and retail trade
H Transportation and storage
I Accommodation and food serving
J Information and communication
K Financial institutions
L Renting and buying and selling of real estate
M Consultancy, research and other specialised business services
N Renting and leasing of tangible goods and other business support services
O Public administration, public services and compulsory social security
P Education
Q Health and social work activities
R Culture, sports and recreation
S Other service activities
T Activities of households as employers; undifferentiated goods- and service- producing activities of households for own use
U Extraterritorial organisations",1,2002
8,T001081,2003JJ00,257981.0,203146.0,54835.0,255777.0,2.7,2.1,2.9,44.4,35.0,44.0,26.2,20.6,26.0,4.0,3.4,4.2,3.7,3.1,3.9,5812.0,9851.0,,,,-1.3,-0.9,7545.0,4193.0,3352.0,,,,,,,-0.6,A-U All economic activities,"All economic activities
This category is made up of the categories:
A Agriculture, forestry and fishing
B Mining and quarrying
C Manufacturing
D Electricity and gas supply
E Water supply and waste management
F Construction
G Wholesale and retail trade
H Transportation and storage
I Accommodation and food serving
J Information and communication
K Financial institutions
L Renting and buying and selling of real estate
M Consultancy, research and other specialised business services
N Renting and leasing of tangible goods and other business support services
O Public administration, public services and compulsory social security
P Education
Q Health and social work activities
R Culture, sports and recreation
S Other service activities
T Activities of households as employers; undifferentiated goods- and service- producing activities of households for own use
U Extraterritorial organisations",1,2003
9,T001081,2004JJ00,261726.0,205183.0,56543.0,258862.0,1.4,1.0,1.2,45.6,35.7,45.1,26.6,20.9,26.3,2.7,2.3,2.5,1.7,1.3,1.5,5740.0,9825.0,,,,-1.2,-0.3,7466.0,4131.0,3335.0,,,,,,,-1.1,A-U All economic activities,"All economic activities
This category is made up of the categories:
A Agriculture, forestry and fishing
B Mining and quarrying
C Manufacturing
D Electricity and gas supply
E Water supply and waste management
F Construction
G Wholesale and retail trade
H Transportation and storage
I Accommodation and food serving
J Information and communication
K Financial institutions
L Renting and buying and selling of real estate
M Consultancy, research and other specialised business services
N Renting and leasing of tangible goods and other business support services
O Public administration, public services and compulsory social security
P Education
Q Health and social work activities
R Culture, sports and recreation
S Other service activities
T Activities of households as employers; undifferentiated goods- and service- producing activities of households for own use
U Extraterritorial organisations",1,2004
